attack_type,target_system,outcome,timestamp,attacker_ip,target_ip,data_compromised_GB,attack_duration_min,security_tools_used,user_role,location,attack_severity,industry,response_time_min,mitigation_method
Ransomware,Database,Success,2024-01-30 08:40:23.268293,12.246.143.66,21.92.125.1,10.97,109,Antivirus,Contractor,USA,2,Retail,128,Quarantine
Phishing,IoT Device,Success,2024-01-25 18:50:00.268298,220.230.207.215,89.64.122.168,78.29,21,MFA,Admin,India,7,Energy,9,Reset Credentials
SQL Injection,API,Failure,2023-12-20 02:30:40.268303,13.226.121.174,18.205.145.103,69.93,81,Endpoint Detection,Employee,Germany,5,Energy,65,Patch
Zero-Day Exploit,Email Server,Success,2024-01-08 06:16:32.268316,88.193.65.58,213.121.33.193,78.09,290,Antivirus,Admin,India,10,Education,179,Containment
Ransomware,Cloud Service,Success,2023-12-19 02:30:18.268322,189.104.61.113,82.32.198.74,48.89,255,WAF,External User,India,10,Healthcare,152,Patch
Brute Force,Cloud Service,Failure,2024-02-29 12:03:45.268326,127.136.134.34,115.182.32.115,45.69,218,VPN,Contractor,Germany,8,Government,154,Containment
SQL Injection,Email Server,Success,2024-01-02 05:37:09.268331,227.214.238.131,163.168.228.233,55.53,30,Firewall,External User,Canada,5,Retail,148,Block IP
Phishing,Web Server,Failure,2024-03-07 10:29:27.268335,9.100.130.246,250.14.105.201,5.59,293,Antivirus,Admin,Brazil,8,Finance,124,Containment
Cross-Site Scripting,Email Server,Failure,2024-01-04 15:03:45.268340,141.181.219.181,193.201.143.37,98.42,155,WAF,Employee,China,1,Manufacturing,52,Quarantine
Phishing,Email Server,Failure,2023-09-21 07:33:11.268344,82.16.38.67,24.63.241.160,3.48,127,Endpoint Detection,External User,Russia,2,Manufacturing,99,Quarantine
SQL Injection,Web Server,Success,2024-07-16 13:10:46.268349,166.146.148.123,121.137.219.99,52.18,213,MFA,Contractor,Brazil,3,Finance,132,Containment
DDoS,Database,Success,2024-07-13 04:09:21.268353,207.112.42.101,39.17.37.175,22.68,286,VPN,Employee,USA,7,Retail,130,Quarantine
Brute Force,Database,Success,2024-04-11 02:01:10.268358,104.21.3.124,235.22.178.102,69.6,37,Endpoint Detection,Employee,China,3,Education,17,Reset Credentials
Phishing,API,Success,2023-10-06 10:19:56.268363,21.166.101.156,168.118.121.91,50.1,95,VPN,Admin,France,4,Finance,156,Block IP
Brute Force,Network Switch,Success,2024-02-04 11:29:43.268368,63.26.19.252,138.142.73.126,83.63,264,Antivirus,External User,UK,3,Healthcare,150,Containment
Brute Force,Network Switch,Success,2023-10-24 07:37:21.268373,205.236.255.193,170.55.18.247,81.39,154,SIEM,Employee,Germany,9,Technology,148,Patch
Phishing,Network Switch,Success,2024-05-29 15:00:22.268378,130.55.175.132,168.98.77.162,63.33,175,WAF,Employee,USA,6,Education,17,Block IP
Cross-Site Scripting,Web Server,Success,2024-05-19 21:56:33.268383,172.151.145.66,32.199.195.25,10.5,251,Endpoint Detection,Employee,Australia,5,Government,119,Block IP
Malware,Database,Success,2023-12-09 03:29:43.268389,76.81.75.149,34.38.150.44,50.78,76,MFA,Admin,France,9,Energy,120,Block IP
DDoS,Web Server,Success,2024-04-18 14:24:27.268394,46.62.50.175,66.90.166.28,21.89,300,IDS,Employee,Russia,9,Government,171,Reset Credentials
Ransomware,Database,Success,2023-10-23 09:04:49.268398,252.165.166.224,55.77.138.61,24.89,174,IDS,Admin,Brazil,3,Government,167,Patch
Brute Force,Network Switch,Failure,2024-07-20 17:19:42.268405,177.147.111.246,217.154.69.104,27.14,98,VPN,Employee,China,10,Retail,52,Reset Credentials
Phishing,Network Switch,Success,2024-03-30 00:26:14.268410,93.83.190.132,206.133.67.56,17.91,277,WAF,Admin,India,4,Technology,74,Containment
Ransomware,Email Server,Success,2024-08-09 22:09:12.268416,59.204.17.63,209.19.168.252,6.25,157,Endpoint Detection,External User,Brazil,10,Energy,97,Block IP
Cross-Site Scripting,Web Server,Failure,2024-04-07 02:01:44.268421,28.52.217.25,120.18.110.139,10.41,87,Firewall,Admin,Germany,2,Education,12,Patch
Cross-Site Scripting,Email Server,Failure,2024-04-28 19:10:06.268425,66.238.160.64,255.124.114.65,35.49,7,Endpoint Detection,External User,Germany,3,Healthcare,15,Block IP
Phishing,Network Switch,Success,2023-11-22 02:20:44.268430,30.103.177.96,172.111.80.41,1.47,75,WAF,Contractor,Australia,10,Manufacturing,23,Quarantine
DDoS,API,Success,2024-01-24 07:14:32.268434,139.161.238.89,60.185.69.85,43.19,152,Endpoint Detection,External User,Australia,10,Finance,53,Block IP
Phishing,Network Switch,Success,2024-03-07 06:26:09.268439,48.160.145.69,41.135.106.185,18.19,198,MFA,Admin,USA,9,Finance,32,Patch
DDoS,Database,Success,2024-03-15 08:25:19.268444,119.3.38.17,144.211.229.134,91.96,214,Firewall,External User,Canada,7,Technology,150,Containment
Brute Force,Database,Success,2024-07-14 15:10:40.268449,46.165.194.174,59.197.228.85,6.22,164,Endpoint Detection,Admin,Germany,7,Government,18,Quarantine
Cross-Site Scripting,IoT Device,Success,2024-03-27 18:49:57.268454,30.53.2.90,64.248.108.200,93.16,57,MFA,Admin,Canada,2,Healthcare,153,Patch
SQL Injection,Network Switch,Success,2024-07-27 22:27:05.268459,241.189.120.234,2.103.136.183,38.74,148,MFA,Employee,Russia,1,Retail,4,Containment
Cross-Site Scripting,Web Server,Success,2024-07-12 03:49:38.268464,101.130.134.220,175.151.255.24,19.16,195,WAF,Employee,Germany,10,Government,56,Quarantine
Ransomware,User Account,Failure,2024-08-15 12:31:01.268469,5.222.102.161,68.183.100.57,20.76,297,VPN,Admin,Russia,10,Healthcare,51,Quarantine
Ransomware,Cloud Service,Success,2023-10-21 15:12:24.268474,129.63.187.166,133.227.49.25,73.21,91,IDS,Contractor,Russia,5,Education,144,Containment
Cross-Site Scripting,Cloud Service,Failure,2024-07-29 13:08:18.268480,59.177.135.195,245.213.210.170,7.59,237,Firewall,Admin,Canada,4,Retail,173,Reset Credentials
Ransomware,User Account,Failure,2023-09-08 05:00:04.268485,127.142.103.33,86.64.156.5,84.66,222,WAF,Employee,Canada,10,Government,104,Block IP
SQL Injection,API,Failure,2024-06-28 13:35:30.268489,236.47.188.255,87.102.59.234,52.71,34,IDS,External User,Australia,7,Technology,57,Reset Credentials
Cross-Site Scripting,IoT Device,Success,2024-03-22 00:47:03.268494,98.47.68.111,2.230.188.202,14.37,230,MFA,Contractor,China,3,Finance,89,Patch
Malware,Cloud Service,Success,2024-04-04 14:44:24.268500,166.36.212.73,224.9.116.127,13.18,173,IDS,External User,Germany,4,Healthcare,113,Patch
Cross-Site Scripting,API,Success,2023-11-13 14:18:37.268506,141.112.7.230,197.3.185.208,95.33,54,Antivirus,Admin,Brazil,5,Energy,133,Reset Credentials
Phishing,API,Failure,2023-10-29 18:17:03.268511,233.198.117.31,128.72.178.241,46.41,27,VPN,Employee,China,7,Education,54,Quarantine
SQL Injection,Database,Failure,2023-10-21 21:40:28.268516,124.26.84.37,130.118.1.190,10.59,187,MFA,Employee,China,6,Technology,24,Patch
Brute Force,User Account,Success,2024-07-26 04:10:42.268521,142.35.37.238,209.210.157.20,79.18,230,MFA,Admin,Germany,4,Manufacturing,93,Containment
Zero-Day Exploit,Cloud Service,Failure,2024-07-17 11:07:24.268525,210.120.34.154,207.95.73.192,52.58,279,SIEM,Admin,UK,5,Finance,34,Patch
Brute Force,User Account,Failure,2024-08-17 05:12:33.268530,3.36.63.222,243.204.26.53,75.23,87,Firewall,External User,Brazil,2,Healthcare,177,Containment
Ransomware,Database,Success,2024-07-27 20:15:13.268534,208.183.114.1,179.42.116.167,70.58,44,SIEM,External User,France,9,Energy,38,Containment
Zero-Day Exploit,API,Failure,2024-05-15 06:47:42.268539,189.68.169.201,23.132.106.160,71.04,80,Endpoint Detection,Contractor,Germany,1,Healthcare,94,Patch
Zero-Day Exploit,Email Server,Failure,2024-08-01 14:57:54.268544,249.54.186.213,66.47.216.170,92.19,291,VPN,External User,UK,2,Manufacturing,16,Containment
Cross-Site Scripting,API,Success,2024-07-30 19:26:38.268549,77.85.252.52,246.168.189.215,84.14,253,Endpoint Detection,Employee,Canada,2,Education,177,Patch
SQL Injection,IoT Device,Failure,2024-04-11 17:05:25.268553,49.135.186.199,107.123.166.78,97.02,121,VPN,External User,Canada,3,Government,46,Patch
Malware,Email Server,Failure,2024-05-28 13:48:46.268558,251.1.94.212,116.176.240.201,22.32,116,Endpoint Detection,Admin,Brazil,4,Healthcare,60,Quarantine
Brute Force,API,Success,2023-11-27 16:12:19.268563,227.143.118.211,189.194.149.194,51.36,255,Firewall,Admin,India,5,Technology,113,Patch
SQL Injection,Email Server,Failure,2024-07-18 13:14:41.268567,9.177.55.144,105.36.153.65,88.42,136,Endpoint Detection,Admin,Brazil,8,Healthcare,54,Containment
Zero-Day Exploit,Web Server,Failure,2024-06-17 10:26:42.268572,127.57.213.208,62.4.145.220,48.01,118,VPN,Employee,Australia,9,Finance,78,Block IP
DDoS,IoT Device,Failure,2023-11-02 10:48:18.268576,250.75.9.191,175.29.113.3,83.23,53,MFA,Contractor,Brazil,4,Retail,134,Containment
SQL Injection,IoT Device,Success,2024-07-22 09:26:13.268581,190.74.131.90,17.91.86.64,29.87,6,WAF,Admin,UK,6,Healthcare,60,Quarantine
Cross-Site Scripting,Cloud Service,Success,2024-08-22 06:34:20.268585,108.179.195.125,136.35.186.150,74.69,73,SIEM,Employee,China,6,Technology,86,Containment
Ransomware,User Account,Failure,2024-01-25 00:28:08.268590,34.11.185.242,158.108.160.217,65.7,71,Endpoint Detection,External User,France,6,Technology,179,Containment
Ransomware,Database,Failure,2023-12-13 22:13:15.268594,42.133.14.233,213.94.139.149,31.75,55,Firewall,External User,Australia,10,Retail,60,Block IP
Ransomware,IoT Device,Failure,2023-12-02 03:53:42.268599,170.108.119.166,133.95.58.131,80.67,134,VPN,Contractor,France,8,Manufacturing,133,Reset Credentials
Ransomware,Network Switch,Success,2024-02-05 13:16:46.268603,151.157.213.133,101.254.186.186,20.23,220,SIEM,External User,Australia,3,Education,103,Containment
DDoS,Web Server,Failure,2023-11-08 02:40:33.268608,90.39.253.248,26.150.211.243,20.57,295,WAF,Employee,USA,6,Education,169,Patch
Zero-Day Exploit,Cloud Service,Success,2024-01-16 01:49:46.268612,182.246.101.207,6.68.142.3,17.24,87,SIEM,Contractor,USA,3,Education,12,Quarantine
Brute Force,User Account,Success,2023-10-14 18:59:00.268617,66.91.243.53,58.251.164.51,78.87,156,MFA,Employee,Germany,1,Retail,80,Patch
Phishing,API,Success,2023-11-23 16:53:30.268621,168.220.223.118,181.212.196.161,84.39,62,SIEM,Admin,Germany,6,Manufacturing,10,Block IP
Ransomware,Cloud Service,Failure,2023-09-08 13:59:47.268626,70.198.241.42,24.157.10.198,21.68,211,Firewall,External User,Germany,3,Finance,158,Patch
Brute Force,API,Success,2024-02-29 02:11:12.268631,9.99.60.240,36.208.179.254,47.25,215,SIEM,External User,Russia,7,Technology,54,Quarantine
DDoS,Database,Success,2024-03-03 16:30:22.268635,88.236.207.35,159.74.54.123,71.73,135,Firewall,Contractor,USA,5,Manufacturing,36,Patch
DDoS,IoT Device,Success,2023-11-05 06:35:01.268640,175.102.57.50,233.223.241.110,83.88,71,Antivirus,Admin,France,9,Government,48,Quarantine
Malware,User Account,Success,2023-12-24 05:31:16.268644,99.254.254.62,58.241.237.149,35.96,104,MFA,Admin,UK,1,Education,33,Reset Credentials
DDoS,Database,Success,2023-12-24 05:16:22.268649,204.158.37.109,209.30.73.122,77.81,278,WAF,Admin,Canada,3,Healthcare,80,Block IP
SQL Injection,IoT Device,Success,2023-10-04 20:27:16.268654,172.128.117.182,232.62.63.235,16.36,136,Firewall,External User,China,8,Government,113,Block IP
Malware,User Account,Success,2023-11-05 09:28:56.268659,15.230.60.204,32.219.147.154,29.68,32,SIEM,Contractor,China,4,Retail,86,Quarantine
Ransomware,Email Server,Success,2024-09-02 10:20:26.268664,155.48.151.48,207.0.104.221,62.14,30,Firewall,External User,India,9,Government,6,Patch
Cross-Site Scripting,Network Switch,Failure,2024-08-23 14:36:07.268669,168.9.221.249,136.85.157.145,19.52,168,IDS,Employee,Australia,6,Retail,18,Patch
Phishing,Cloud Service,Failure,2024-06-29 16:06:00.268674,76.64.223.0,216.199.104.116,28.69,285,Antivirus,Contractor,USA,7,Technology,134,Containment
Cross-Site Scripting,User Account,Success,2024-08-27 01:24:34.268680,213.99.20.115,188.52.24.109,9.94,200,Firewall,Contractor,UK,8,Finance,118,Containment
DDoS,Database,Success,2024-08-03 10:52:14.268686,104.238.123.71,127.34.72.23,59.78,11,MFA,Contractor,Russia,4,Healthcare,101,Patch
Brute Force,Web Server,Failure,2024-01-25 11:06:56.268691,125.225.127.140,64.18.24.7,57.48,174,Endpoint Detection,Admin,Brazil,7,Manufacturing,109,Patch
SQL Injection,Database,Failure,2024-03-13 10:37:10.268697,192.109.15.26,209.92.230.50,65.92,267,Antivirus,Contractor,Canada,2,Finance,172,Block IP
Zero-Day Exploit,Email Server,Failure,2024-01-26 21:18:40.268703,176.85.178.137,213.164.163.43,74.92,292,VPN,External User,Canada,1,Government,129,Reset Credentials
Cross-Site Scripting,Network Switch,Failure,2023-09-07 17:22:45.268709,182.69.103.167,131.185.12.212,88.14,150,VPN,Employee,France,1,Finance,173,Block IP
DDoS,Cloud Service,Failure,2023-09-26 04:29:26.268715,37.252.146.175,119.120.118.185,37.11,118,VPN,Contractor,Australia,4,Manufacturing,53,Reset Credentials
Cross-Site Scripting,Database,Success,2024-05-02 19:27:13.268721,104.145.73.17,203.57.192.210,54.5,101,Firewall,External User,UK,5,Government,74,Containment
Malware,Email Server,Success,2024-01-11 20:42:59.268726,46.219.170.135,116.39.113.169,31.8,179,Endpoint Detection,Admin,Brazil,5,Manufacturing,154,Reset Credentials
Brute Force,User Account,Success,2024-08-26 22:14:29.268732,162.176.195.221,167.22.156.80,68.83,182,MFA,Contractor,Brazil,3,Manufacturing,119,Reset Credentials
Zero-Day Exploit,Cloud Service,Failure,2023-12-13 14:53:40.268749,7.182.75.189,212.163.61.32,38.52,249,Firewall,External User,Brazil,5,Retail,118,Patch
Phishing,IoT Device,Success,2023-12-27 19:33:00.268755,59.254.123.115,250.151.62.154,86.99,87,Endpoint Detection,External User,USA,10,Finance,109,Reset Credentials
Brute Force,Network Switch,Success,2024-04-02 19:05:15.268760,71.35.96.47,194.120.78.51,86.07,2,Antivirus,Admin,UK,3,Retail,118,Containment
Cross-Site Scripting,Cloud Service,Failure,2024-06-01 10:29:40.268766,211.59.218.16,119.72.5.58,54.34,196,WAF,External User,UK,10,Technology,82,Reset Credentials
Malware,API,Failure,2023-09-14 06:51:58.268770,62.52.128.228,89.200.14.159,46.69,229,SIEM,Contractor,Australia,3,Retail,164,Quarantine
SQL Injection,Cloud Service,Success,2023-09-10 07:59:30.268775,148.223.207.25,100.170.241.49,85.32,16,MFA,Employee,France,1,Government,85,Quarantine
Zero-Day Exploit,IoT Device,Success,2024-05-04 08:01:34.268780,18.210.139.70,148.226.82.213,1.23,284,WAF,Contractor,Russia,8,Retail,34,Reset Credentials
Zero-Day Exploit,API,Success,2023-12-31 16:51:59.268785,167.49.49.61,158.124.245.211,25.7,27,VPN,Employee,Russia,9,Technology,104,Patch
Zero-Day Exploit,Web Server,Failure,2024-09-05 15:58:54.268790,69.82.128.244,60.161.250.184,13.26,254,VPN,External User,Brazil,6,Finance,57,Patch
Malware,IoT Device,Failure,2023-12-24 00:23:32.268795,120.184.109.17,17.98.160.16,45.76,210,IDS,Employee,Australia,1,Manufacturing,165,Containment
SQL Injection,API,Success,2023-10-05 13:51:52.268800,224.97.193.48,234.246.14.189,59.89,275,WAF,Admin,China,7,Retail,15,Reset Credentials
Phishing,User Account,Success,2023-10-30 08:31:18.268806,197.36.238.97,236.73.25.13,29.37,20,VPN,External User,Russia,2,Finance,19,Quarantine
Brute Force,Cloud Service,Success,2024-05-16 08:54:15.268811,41.10.39.19,170.58.17.242,96.25,265,Endpoint Detection,Contractor,India,4,Healthcare,28,Containment
Cross-Site Scripting,API,Success,2024-08-24 16:43:08.268816,47.93.208.183,163.106.13.156,24.41,223,MFA,External User,Russia,2,Technology,133,Quarantine
SQL Injection,IoT Device,Failure,2024-03-21 19:24:23.268821,22.177.10.215,42.20.40.203,48.54,104,Endpoint Detection,Contractor,Canada,5,Technology,110,Block IP
Phishing,Database,Success,2023-11-26 00:03:00.268825,45.11.241.184,157.182.96.199,44.27,160,MFA,External User,USA,7,Energy,111,Reset Credentials
Brute Force,API,Failure,2023-11-02 03:32:48.268830,103.122.119.204,157.69.213.20,41.52,288,WAF,Admin,Brazil,10,Energy,77,Block IP
Zero-Day Exploit,Network Switch,Failure,2024-07-22 18:29:05.268836,176.190.9.162,128.156.184.124,85.07,121,SIEM,External User,India,8,Education,15,Containment
SQL Injection,User Account,Failure,2024-04-07 02:08:19.268841,209.145.239.55,19.59.201.55,72.63,129,Endpoint Detection,Admin,UK,8,Manufacturing,151,Reset Credentials
Malware,Database,Failure,2023-11-25 09:25:20.268847,147.250.5.110,218.154.223.75,9.18,119,IDS,Employee,Canada,4,Government,5,Containment
Brute Force,API,Success,2023-09-21 10:06:22.268852,31.74.209.63,165.139.50.4,9.73,196,MFA,Admin,Australia,8,Manufacturing,117,Containment
Phishing,API,Success,2024-07-28 22:39:19.268858,24.138.21.27,189.166.9.183,64.83,146,MFA,Contractor,USA,7,Education,102,Quarantine
Brute Force,Cloud Service,Success,2024-07-10 09:33:30.268863,91.20.59.1,34.77.51.5,61.42,76,SIEM,External User,USA,4,Healthcare,117,Block IP
DDoS,User Account,Failure,2024-05-07 20:02:29.268869,94.65.214.229,8.225.185.225,86.38,89,SIEM,Contractor,Australia,1,Government,29,Reset Credentials
Ransomware,Email Server,Failure,2024-04-05 05:51:24.268874,53.132.231.191,52.217.251.246,52.75,125,WAF,External User,France,6,Government,10,Patch
Ransomware,IoT Device,Success,2024-01-11 12:31:30.268880,214.183.129.88,159.47.1.34,69.27,278,Firewall,Contractor,China,7,Government,40,Reset Credentials
Phishing,Cloud Service,Success,2024-08-03 12:26:10.268885,111.21.197.200,214.166.134.172,93.57,76,Firewall,Contractor,India,2,Manufacturing,68,Patch
DDoS,IoT Device,Failure,2024-02-26 21:35:21.268891,128.43.150.105,27.73.113.233,4.6,272,Antivirus,Contractor,France,1,Government,91,Patch
Zero-Day Exploit,Cloud Service,Failure,2024-05-21 06:33:53.268897,231.70.133.70,54.161.37.55,53.27,140,WAF,Admin,UK,4,Energy,141,Patch
Malware,Email Server,Failure,2023-11-17 07:13:59.268902,127.26.203.139,210.7.240.143,38.37,184,IDS,Admin,China,4,Healthcare,143,Patch
SQL Injection,Web Server,Success,2024-02-10 08:25:14.268907,93.6.61.36,110.235.87.243,68.75,69,Antivirus,Admin,China,8,Education,54,Quarantine
Ransomware,Database,Success,2023-09-16 11:56:07.268913,120.218.92.109,186.28.85.138,64.75,23,SIEM,External User,China,8,Finance,12,Quarantine
Phishing,Network Switch,Success,2024-03-17 10:47:38.268919,231.155.60.9,98.242.57.28,43.73,44,Antivirus,Admin,USA,3,Government,40,Quarantine
Phishing,Email Server,Success,2024-02-22 06:01:24.268924,123.198.102.192,7.107.114.2,90.31,126,SIEM,Employee,Germany,8,Technology,167,Block IP
Cross-Site Scripting,User Account,Failure,2024-04-25 12:17:23.268930,229.116.112.10,245.183.171.30,91.46,137,SIEM,Contractor,Germany,10,Energy,130,Patch
Cross-Site Scripting,User Account,Failure,2023-11-23 01:00:56.268936,111.189.134.216,108.34.42.42,77.71,290,Firewall,Employee,Canada,7,Energy,115,Containment
Ransomware,Database,Success,2024-08-04 00:12:25.268941,93.195.82.88,124.116.35.185,12.62,206,SIEM,Employee,USA,6,Retail,86,Quarantine
Phishing,IoT Device,Success,2024-05-12 17:07:48.268947,28.226.67.243,239.216.39.109,31.89,38,Endpoint Detection,Employee,USA,8,Healthcare,33,Containment
SQL Injection,Network Switch,Success,2024-08-22 19:16:25.268952,80.109.171.152,210.245.74.240,91.37,99,Firewall,Employee,Russia,9,Retail,161,Patch
Ransomware,Email Server,Failure,2024-06-23 13:38:29.268958,15.189.99.216,46.53.68.103,81.02,140,SIEM,External User,Germany,9,Manufacturing,27,Block IP
Phishing,Web Server,Failure,2023-09-22 20:23:40.268963,134.228.110.186,133.205.7.71,13.38,194,Endpoint Detection,Admin,UK,7,Manufacturing,36,Containment
Ransomware,Web Server,Failure,2023-12-30 19:39:56.268968,71.125.236.222,199.188.69.252,4.12,141,Endpoint Detection,External User,Brazil,4,Education,18,Containment
Phishing,Network Switch,Success,2024-05-22 05:30:39.268974,187.5.168.110,225.251.10.210,37.59,185,MFA,Admin,Canada,6,Finance,128,Block IP
SQL Injection,Network Switch,Failure,2024-08-24 20:51:58.268979,138.116.148.31,238.44.24.154,4.93,207,MFA,Contractor,Brazil,4,Energy,156,Reset Credentials
